% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",Boundary wall,Building condition satisfactory,MeasureGroup 1 Measures,Color By Measure Value,Show Sheet,Table of Contents,Other Factors Measure Value,Analysis Level Selector,Color By Measure Name,Complete Primary Schools,Country,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,MeasureGroup 2 Measures,No Facility,Number of Records,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
100.00%,0.612244898,0.00%,0.227891156,0.159863946,22.22%,3.82%,51.04%,22.92%,10160,41,Cluster 1,11.071428571,5.357142857,44.625284308,44.625284308,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,180,Pakistan,Dera Bugti,78.928571429,24,25.722987744,2.59%,4.285714286,16.666666667,44.625284308,9.07,16,25.722987744,0.00%,1,0.825842697,294,0.174157303,62,3.70%,181310,67,47,Balochistan,25.6,20.5,5379,2.857142857,356,2013
82.59%,0.244239631,17.41%,0.230414747,0.525345622,44.58%,1.61%,31.73%,22.09%,12637,41,Cluster 1,35.714285714,9.047619048,67.410814304,67.410814304,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,53,Pakistan,Gwadar,77.142857143,24,58.852703576,2.59%,37.619047619,80,67.410814304,9.07,50,58.852703576,0.00%,1,0.794871795,217,0.205128205,56,3.70%,185498,50,114,Balochistan,38,39.047619048,5379,35.714285714,273,2013
74.75%,0.280821918,25.25%,0.143835616,0.575342466,12.05%,11.45%,39.16%,37.35%,4096,41,Cluster 1,11.258278146,17.218543046,75.246294185,75.246294185,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,41,Pakistan,Harnai,96.026490066,24,65.603240213,2.59%,9.933774834,81.666666667,75.246294185,9.07,53.9,65.603240213,0.00%,1,0.863905325,146,0.136094675,23,3.70%,140000,21,84,Balochistan,51.6,33.774834437,5379,34.437086093,169,2013
79.61%,0.142857143,20.39%,0.187122736,0.670020121,12.41%,20.11%,28.20%,39.29%,2445,41,Cluster 1,18.961352657,7.850241546,70.394496752,70.394496752,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,71,Pakistan,Jaffarabad,78.743961353,24,52.534040855,2.59%,19.565217391,44.166666667,70.394496752,9.07,53.175,52.534040855,0.00%,1,0.878091873,497,0.121908127,69,3.70%,432817,93,333,Balochistan,42.4,25.458937198,5379,2.173913043,566,2013
92.21%,0.194331984,7.79%,0.198380567,0.607287449,10.68%,22.06%,27.40%,39.86%,3615,41,Cluster 1,22.175732218,4.602510460,57.794727203,57.794727203,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,48,Pakistan,Jhal Magsi,100,24,66.479931801,2.59%,6.276150628,80,57.794727203,9.07,50.125,66.479931801,0.00%,1,0.831649832,247,0.168350168,50,3.70%,109941,49,150,Balochistan,78,28.200836820,5379,7.949790795,297,2013
100.00%,0.225063939,0.00%,0.350383632,0.424552430,40.07%,5.05%,47.29%,7.58%,7499,41,Cluster 1,20.754716981,5.390835580,48.916664756,48.916664756,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,88,Pakistan,Kachhi,77.358490566,24,46.837499522,2.59%,22.911051213,75.833333333,48.916664756,9.07,45,46.837499522,0.00%,1,0.863134658,391,0.136865342,62,3.70%,288056,137,166,Balochistan,17.6,26.199460916,5379,4.582210243,453,2013
62.95%,0.228070175,37.05%,0.280701754,0.491228070,26.71%,10.87%,34.75%,27.66%,6622,41,Cluster 1,38.992042440,9.549071618,87.052138915,87.052138915,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,91,Pakistan,Kalat,82.228116711,24,59.279701396,2.59%,7.692307692,84.166666667,87.052138915,9.07,31.5,59.279701396,0.00%,1,0.836477987,399,0.163522013,78,3.70%,237834,112,196,Balochistan,34.4,32.413793103,5379,23.607427056,477,2013
74.25%,0.442913386,25.75%,0.206692913,0.350393701,57.11%,1.26%,37.03%,4.60%,22539,41,Cluster 1,35.670103093,14.845360825,75.749425797,75.749425797,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,225,Pakistan,Kech,49.072164948,24,59.089439783,2.59%,23.092783505,65.833333333,75.749425797,9.07,50.375,59.089439783,0.00%,1,0.765060241,508,0.234939759,156,3.70%,413204,105,178,Balochistan,44.4,30.185567010,5379,28.247422680,664,2013
71.53%,0.054644809,28.47%,0.295081967,0.650273224,68.20%,0.00%,29.95%,1.84%,8958,41,Cluster 1,18.285714286,20.571428571,78.471709057,78.471709057,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,10,Pakistan,Kharan,44,24,52.401260598,2.59%,8.571428571,73.333333333,78.471709057,9.07,29,52.401260598,0.00%,1,0.788793103,183,0.211206897,49,3.70%,132500,54,119,Balochistan,28.8,19.314285714,5379,5.142857143,232,2013
62.48%,0.321711569,37.52%,0.172741680,0.505546751,24.20%,7.78%,36.55%,31.47%,35380,41,Cluster 1,30.051813472,14.335060449,87.515228426,87.515228426,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,203,Pakistan,Khuzdar,70.639032815,24,50.993390440,2.59%,14.162348877,78.333333333,87.515228426,9.07,16.125,50.993390440,0.00%,1,0.869146006,631,0.130853994,95,3.70%,417466,109,319,Balochistan,22,30.086355786,5379,21.243523316,726,2013
100.00%,0.194063927,0.00%,0.235159817,0.570776256,16.70%,10.92%,41.97%,30.41%,3293,41,Cluster 1,38.848920863,23.021582734,30.916885450,30.916885450,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,85,Pakistan,Killa Abdullah,41.247002398,24,40.793804696,2.59%,15.107913669,78.333333333,30.916885450,9.07,35.125,40.793804696,0.00%,1,0.857142857,438,0.142857143,73,3.70%,370269,103,250,Balochistan,18.8,27.338129496,5379,18.465227818,511,2013
100.00%,0.031423290,0.00%,0.336414048,0.632162662,13.09%,26.36%,23.82%,36.73%,6831,41,Cluster 1,30.524344569,21.161048689,46.686467349,46.686467349,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,17,Pakistan,Killa Saifullah,47.752808989,24,51.188283504,2.59%,23.970037453,44.166666667,46.686467349,9.07,48.3,51.188283504,0.00%,1,0.892739274,541,0.107260726,65,3.70%,193553,182,342,Balochistan,65.6,28.651685393,5379,19.850187266,606,2013
100.00%,0,0.00%,0.202970297,0.824257426,19.41%,16.48%,15.80%,48.31%,7610,41,Cluster 1,16.844919786,25.935828877,37.332550428,37.332550428,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,0,Pakistan,Kohlu,43.315508021,24,34.456054274,2.59%,14.705882353,41.666666667,37.332550428,9.07,14.825,34.456054274,0.00%,1,0.905829596,404,0.094170404,42,3.70%,99846,82,333,Balochistan,44,20.748663102,5379,2.941176471,446,2013
81.87%,0.362934363,18.13%,0.185328185,0.451737452,18.09%,11.52%,32.62%,37.77%,15153,41,Cluster 1,22.614107884,6.846473029,68.126521664,68.126521664,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,188,Pakistan,Lasbela,78.630705394,24,43.383713749,2.59%,9.336099585,48.333333333,68.126521664,9.07,19.075,43.383713749,0.00%,1,0.854785479,518,0.145214521,88,3.70%,312695,96,234,Balochistan,38,27.219917012,5379,18.672199170,606,2013
64.58%,0,35.42%,0.409657321,0.660436137,28.81%,9.71%,28.35%,33.13%,9830,41,Cluster 1,39.250814332,3.583061889,85.421671596,85.421671596,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,0,Pakistan,Loralai,54.560260586,24,39.705417899,2.59%,50.651465798,27.5,85.421671596,9.07,17.5,39.705417899,0.00%,1,0.887966805,642,0.112033195,81,3.70%,295555,263,424,Balochistan,28.4,32.377850163,5379,13.843648208,723,2013
88.52%,0.392739274,11.48%,0.165016502,0.442244224,20.40%,7.93%,31.44%,40.23%,5896,41,Cluster 1,47.826086957,23.745819398,61.481754475,61.481754475,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,119,Pakistan,Mastung,90.969899666,24,52.922521952,2.59%,8.695652174,93.333333333,61.481754475,9.07,22.075,52.922521952,0.00%,1,0.801587302,303,0.198412698,75,3.70%,179784,50,134,Balochistan,34.8,39.331103679,5379,25.418060201,378,2013
90.33%,0,9.67%,0.378787879,0.780303030,21.60%,3.14%,50.87%,24.39%,5728,41,Cluster 1,29.296875,9.375,59.674300254,59.674300254,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,0,Pakistan,Musakhail,89.0625,24,31.512325064,2.59%,0.390625,20,59.674300254,9.07,32.775,31.512325064,0.00%,1,0.868421053,264,0.131578947,40,3.70%,134056,100,206,Balochistan,13.6,28.984375,5379,16.796875,304,2013
100.00%,0,0.00%,0.356194690,0.685840708,24.84%,20.22%,22.20%,32.75%,3387,41,Cluster 1,24.586288416,2.600472813,45.736641221,45.736641221,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,0,Pakistan,Nasirabad,81.560283688,24,44.719576972,2.59%,35.697399527,44.166666667,45.736641221,9.07,58.975,44.719576972,0.00%,1,0.889763780,452,0.110236220,56,3.70%,245894,161,310,Balochistan,30,29.456264775,5379,2.836879433,508,2013
67.19%,0.524096386,32.81%,0.078313253,0.397590361,80.47%,0.00%,17.21%,2.33%,5797,41,Cluster 1,52.631578947,3.289473684,82.806422241,82.806422241,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,87,Pakistan,Nushki,53.289473684,24,51.424522227,2.59%,26.315789474,51.666666667,82.806422241,9.07,24.425,51.424522227,0.00%,1,0.697478992,166,0.302521008,72,3.70%,137500,13,66,Balochistan,46.8,36.052631579,5379,44.736842105,238,2013
81.70%,0.595611285,18.30%,0.103448276,0.300940439,7.30%,9.19%,42.97%,40.54%,16891,41,Cluster 1,32.014388489,17.625899281,68.300141960,68.300141960,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,190,Pakistan,Panjgur,93.525179856,24,50.970868823,2.59%,7.194244604,70.833333333,68.300141960,9.07,32.75,50.970868823,0.00%,1,0.811704835,319,0.188295165,74,3.70%,234051,33,96,Balochistan,32,33.093525180,5379,15.107913669,393,2013
77.83%,0.145102781,22.17%,0.338573156,0.516324063,34.47%,12.42%,30.29%,22.81%,7819,41,Cluster 1,28.856382979,12.632978723,72.165665569,72.165665569,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,120,Pakistan,Pishin,95.079787234,24,52.539333059,2.59%,8.510638298,84.166666667,72.165665569,9.07,29.025,52.539333059,0.00%,1,0.838742394,827,0.161257606,159,3.70%,367183,280,427,Balochistan,24.8,32.234042553,5379,16.090425532,986,2013
63.34%,0.751282051,36.66%,0.094871795,0.153846154,42.91%,3.54%,37.99%,15.55%,2653,41,Cluster 1,59.900990099,12.128712871,86.659404872,86.659404872,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,293,Pakistan,Quetta,94.059405941,24,66.329434551,2.59%,23.019801980,85.833333333,86.659404872,9.07,52.025,66.329434551,0.00%,1,0.681818182,390,0.318181818,182,3.70%,744802,37,60,Balochistan,40.8,44.356435644,5379,32.673267327,572,2013
100.00%,0.012195122,0.00%,0.237804878,0.75,20.96%,7.78%,44.31%,26.95%,0,41,Cluster 1,25.925925926,25.308641975,48.794505186,48.794505186,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,2,Pakistan,Sherani,90.123456790,24,45.792376297,2.59%,10.493827160,82.5,48.794505186,9.07,27.075,45.792376297,0.00%,1,0.891304348,164,0.108695652,20,3.70%,0,39,123,Balochistan,24.8,34.814814815,5379,22.222222222,184,2013
56.16%,0.368932039,43.84%,0.276699029,0.354368932,58.26%,3.67%,18.35%,19.72%,7796,41,Cluster 1,3.398058252,1.941747573,93.839752877,93.839752877,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,76,Pakistan,Sibi,85.436893204,24,61.370354886,2.59%,22.815533981,81.666666667,93.839752877,9.07,26.775,61.370354886,0.00%,1,0.780303030,206,0.219696970,58,3.70%,180398,57,73,Balochistan,43.2,27.475728155,5379,23.786407767,264,2013
74.93%,0.174193548,25.07%,0.2,0.625806452,27.33%,0.58%,66.86%,5.23%,29510,41,Cluster 1,18.115942029,41.304347826,75.070696721,75.070696721,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,27,Pakistan,Washuk,39.855072464,24,48.934340847,2.59%,4.347826087,74.166666667,75.070696721,9.07,16.5,48.934340847,0.00%,1,0.824468085,155,0.175531915,33,3.70%,118171,31,97,Balochistan,30,22.318840580,5379,7.971014493,188,2013
78.93%,0.152027027,21.07%,0.165540541,0.682432432,15.24%,6.10%,36.89%,41.77%,20297,41,Cluster 1,1.766784452,7.773851590,71.071979130,71.071979130,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,45,Pakistan,Zhob,80.918727915,24,39.634661449,2.59%,15.901060071,49.166666667,71.071979130,9.07,15.1,39.634661449,0.00%,1,0.848137536,296,0.151862464,53,3.70%,275142,49,202,Balochistan,23.2,23.392226148,5379,10.600706714,349,2013
75.37%,0.178082192,24.63%,0.296803653,0.525114155,6.59%,30.23%,18.22%,44.96%,1489,41,Cluster 1,42.342342342,17.567567568,74.634211622,74.634211622,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,39,Pakistan,Ziarat,17.117117117,24,56.079386239,2.59%,4.504504505,70.833333333,74.634211622,9.07,38.45,56.079386239,0.00%,1,0.829545455,219,0.170454545,45,3.70%,33340,65,115,Balochistan,40.4,20.810810811,5379,22.522522523,264,2013
94.20%,0.908560311,5.80%,0.007782101,0.083657588,17.45%,23.83%,13.26%,20.97%,,41,Cluster 1,45.719489982,14.389799636,55.801718097,55.801718097,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,467,Pakistan,Bajaur Agency,24.954462659,24,48.808762858,2.59%,30.783242259,67.333333333,55.801718097,9.07,52.5,48.808762858,24.50%,1,0.856666667,514,0.143333333,86,3.70%,,4,43,FATA,19.6,28.633879781,5379,27.322404372,600,2013
69.59%,0.917378917,30.41%,0,0.082621083,20.44%,23.40%,28.57%,16.01%,1227,41,Cluster 1,82.208588957,1.840490798,80.406075289,80.406075289,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,322,Pakistan,FR Bannu,56.441717791,24,54.343185489,2.59%,62.269938650,51.333333333,80.406075289,9.07,50.833333333,54.343185489,11.58%,1,0.851941748,351,0.148058252,61,3.70%,675667,0,29,FATA,34.8,51.472392638,5379,54.601226994,412,2013
100.00%,0.886363636,0.00%,0.015151515,0.098484848,15.79%,26.97%,11.84%,18.42%,,41,Cluster 1,59.016393443,40.163934426,36.277079433,36.277079433,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,117,Pakistan,FR DI Khan,45.901639344,24,27.994269858,2.59%,27.868852459,33.333333333,36.277079433,9.07,18.766666667,27.994269858,26.97%,1,0.851612903,132,0.148387097,23,3.70%,,2,13,FATA,23.6,44.590163934,5379,50,155,2013
100.00%,0.945578231,0.00%,0.020408163,0.034013605,15.68%,28.11%,18.38%,21.08%,,41,Cluster 1,82.758620690,6.896551724,22.846920885,22.846920885,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,139,Pakistan,FR Kohat,44.827586207,24,15.211730221,2.59%,53.448275862,0,22.846920885,9.07,0,15.211730221,16.76%,1,0.794594595,147,0.205405405,38,3.70%,,3,5,FATA,38,46.379310345,5379,43.965517241,185,2013
63.75%,0.979166667,36.25%,0,0.020833333,15.89%,32.71%,10.28%,26.17%,,41,Cluster 1,79.761904762,3.571428571,86.248091603,86.248091603,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,94,Pakistan,FR Lakki Marwat,23.809523810,24,51.078689567,2.59%,15.476190476,45.833333333,86.248091603,9.07,36.633333333,51.078689567,14.95%,1,0.834782609,96,0.165217391,19,3.70%,,0,2,FATA,35.6,32.380952381,5379,39.285714286,115,2013
80.79%,0.953333333,19.21%,0.013333333,0.033333333,40.00%,6.67%,24.44%,19.44%,,41,Cluster 2,84.375,23.4375,69.208677136,69.208677136,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,143,Pakistan,FR Peshawar,63.28125,24,49.360502617,2.59%,50.78125,76,69.208677136,9.07,16.633333333,49.360502617,9.44%,1,0.824175824,150,0.175824176,32,3.70%,,2,5,FATA,35.6,55.78125,5379,57.03125,182,2013
87.97%,0.830687831,12.03%,0.026455026,0.142857143,26.29%,20.19%,19.72%,22.54%,,41,Cluster 1,60.248447205,29.192546584,62.033333333,62.033333333,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,157,Pakistan,FR Tank,44.099378882,24,51.883333333,2.59%,29.813664596,73.5,62.033333333,9.07,25.2,51.883333333,11.27%,1,0.828947368,189,0.171052632,39,3.70%,,5,27,FATA,46.8,43.354037267,5379,53.416149068,228,2013
75.80%,0.913043478,24.20%,0.006211180,0.080745342,41.73%,10.11%,22.43%,14.52%,,41,Cluster 1,57.774607703,10.841654779,74.202021673,74.202021673,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,588,Pakistan,Khyber Agency,3.138373752,24,48.567172085,2.59%,17.831669044,74.166666667,74.202021673,9.07,36.3,48.567172085,11.21%,1,0.878581173,644,0.121418827,89,3.70%,,4,52,FATA,9.6,25.620542083,5379,38.516405136,733,2013
92.55%,0.906614786,7.45%,0.009727626,0.083657588,24.61%,15.94%,16.64%,16.64%,,41,Cluster 1,37.659574468,34.468085106,57.447774107,57.447774107,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,466,Pakistan,Kurram Agency,41.702127660,24,15.361943527,2.59%,44.680851064,0,57.447774107,9.07,0,15.361943527,26.17%,1,0.829032258,514,0.170967742,106,3.70%,,5,43,FATA,4,38.680851064,5379,34.893617021,620,2013
66.93%,0.953535354,33.07%,0.002020202,0.044444444,15.26%,20.70%,15.44%,16.49%,,41,Cluster 1,44.147843943,7.186858316,83.067433731,83.067433731,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,472,Pakistan,Mohmand Agency,28.336755647,24,49.366858433,2.59%,31.416837782,67.333333333,83.067433731,9.07,28.666666667,49.366858433,32.11%,1,0.831932773,495,0.168067227,100,3.70%,,1,22,FATA,18.4,28.295687885,5379,30.390143737,595,2013
86.70%,0.839416058,13.30%,0.077858881,0.082725061,47.12%,12.15%,21.96%,11.94%,,41,Cluster 1,61.235216820,19.579500657,63.299332572,63.299332572,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,690,Pakistan,North Waziristan Agency,58.212877792,24,26.324833143,2.59%,62.549277267,0,63.299332572,9.07,0,26.324833143,6.82%,1,0.868004224,822,0.131995776,125,3.70%,,64,68,FATA,42,50.249671485,5379,49.671484888,947,2013
78.79%,0.937209302,21.21%,0.018604651,0.044186047,5.93%,18.61%,10.22%,19.43%,,41,Cluster 1,40.865384615,32.932692308,71.208074729,71.208074729,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",FATA,Gender parity score,403,Pakistan,Orakzai Agency,14.423076923,24,49.897852016,2.59%,24.038461538,74.583333333,71.208074729,9.07,51,49.897852016,45.81%,1,0.866935484,430,0.133064516,66,3.70%,,8,19,FATA,2.8,25.673076923,5379,16.105769231,496,2013
